Reg nr,Kandidaat,Kokku,Hääled välisriigist,E-hääled
101,Andres Herkel,222,3,106
102,Õie-Mari Aasmäe,43,0,32
106,Jüri Pino,36,1,17
103,Jaak Prozes,35,3,18
112,Age Minka,27,0,17
104,Jaanika Klopets,23,0,14
111,Tõnu Teeveer,19,0,9
109,Marike Laht,18,0,10
105,Jaanus Ojangu,15,0,10
110,Sander Klausen,12,0,6
107,Jaanus Paasoja,9,0,4
108,Peeter Liinsoo,5,0,3
226,Kristen Michal,6347,21,4148
227,Heidy Purga,4763,5,3363
228,Arto Aas,2339,2,1790
229,Signe Riisalo,837,2,685
230,Ants Leemets,477,4,318
231,Merike Lang,321,1,217
232,Liis Klaar,307,3,170
236,Lembit Kolk,274,1,196
237,Kristo Enn Vaga,248,0,182
235,Katrin Helendi,181,1,121
233,Andres Aro,104,0,63
234,Gerol Silkin,101,0,70
351,Züleyxa Izmailova,923,6,547
352,Mattias Turovski,441,1,255
362,Kadri Sikk,131,2,88
357,Anne Vetik,71,0,54
353,Fideelia-Signe Roots,64,0,44
359,Kristina Sadohhina,35,0,17
360,Eero Uustalu,30,1,14
356,Hannes Liitmäe,30,0,18
361,Mihkel Tiganik,28,0,15
354,Tarmo Andre Elvisto,26,0,17
355,Maigi Käige,22,0,10
358,Martti Preem,11,0,5
476,Sven Mikser,1693,7,1076
477,Riina Sikkut,1610,9,1074
478,Jaak Juske,672,2,425
487,Andrus Vaarik,495,3,270
479,Marianne Mikko,419,4,257
486,Roy Strider,222,0,155
481,Siim Tuisk,192,3,149
482,Maris Sild,101,0,73
480,Erika Scholler,98,0,47
483,Joosep Vimm,81,2,55
485,Jevgeni Vaisbein,53,0,20
484,Gertrud Kasemaa,47,0,31
601,Mihkel Kangur,423,1,238
606,Riinu Lepa,43,1,29
605,Riina Soone,42,0,23
602,Allan Kokkota,33,0,13
603,Allan Prooso,32,0,18
607,Siiri Tiivits-Puttonen,27,0,19
608,Ülo Mängel,25,0,16
604,Kertu Namsing,14,1,7
675,Urmas Reitelmann,2585,29,964
674,Urmas Espenberg,1974,21,633
676,Argo Luude,353,2,144
680,Õnneli Matt,314,1,175
678,Toivo Tasa,305,5,122
685,Georg Kirsberg,199,8,74
682,Eda Rüütel,146,2,41
679,Ants Miller,122,0,59
677,Karl Olaf Rääk,106,0,55
683,Külli Remsu,103,0,42
681,Riho Rausma,101,0,48
684,Urmas Siemer,53,1,20
799,Liina Normet,1048,1,672
800,Marek Reinaas,537,0,358
802,Pirko Konsa,161,2,130
806,Margot Roose,152,0,114
801,Tiia Sihver,144,1,88
803,Karin Kaup-Lapõnin,120,1,85
808,Valeri Ivanov,113,0,52
807,Ivar Soone,104,0,70
810,Ahti Kallaste,95,0,64
804,Marianna Kaat,73,0,47
805,Henry Sinivee,66,0,44
809,Maarika Neilinn,22,0,16
924,Raimond Kaljulaid,7303,13,1484
927,Vadim Belobrovtsev,1969,3,370
935,Marek Jürgenson,1813,0,414
925,Viktor Vassiljev,1708,9,335
930,Andrei Novikov,1144,1,169
926,Andrei Korobeinik,1133,3,352
928,Natalia Malleus,584,3,122
932,Jaanus Riibe,336,0,79
929,Kalev Kallo,289,0,62
931,Eha Võrk,273,0,80
933,Jüri Ennet,248,1,75
934,Josef Kats,150,0,41
1049,Oleg Tesla,70,0,21
1060,Tarmo Kruusimäe,1811,3,965
1061,Mart Luik,829,3,444
1062,Helen Hääl,459,1,299
1063,Priidu Pärna,451,0,259
1066,Tiit Meren,292,2,172
1067,Pille Lill,261,3,138
1070,Vootele Hansen,227,0,139
1064,Avo Üprus,224,2,106
1069,Peeter Võsu,138,0,59
1068,Imre Rammul,122,0,75
1065,Karl Sander Kase,99,0,66
1071,Jako Kull,37,0,13
1191,Margus Saar,216,4,86
1190,Hannes Veskimäe,112,0,63
113,Neeme Kuningas,202,0,109
114,Kaja Jakobson,77,2,37
116,Taavi Simson,29,0,17
121,Siim Tuur,25,0,14
117,Arvet Lindström,21,0,9
125,Harly Kirspuu,15,0,10
126,Mati Roosnurm,14,0,7
127,Mart Mutso,13,0,4
115,Eve Viidalepp,12,1,5
118,Eve Osa,12,0,6
119,Andres Lints,9,0,5
120,Ave Lossmann,7,0,4
123,Iivi Zajedova,7,0,2
124,Aldo Vaino,6,0,4
122,Alar Tinnus,2,0,0
238,Siim Kallas,8733,39,6000
239,Keit Pentus-Rosimannus,2482,4,1616
241,Kristina Šmigun-Vähi,2002,6,1432
240,Andres Sutt,1905,6,1438
242,Ivi Eenmaa,932,4,604
244,Toomas Kruusimägi,566,0,420
243,Ülle Rajasalu,561,2,343
247,Juhan Kangilaski,310,5,225
246,Kaupo Nõlvak,304,0,217
245,Helen Mahmastol,154,0,93
251,Margit Elviste,137,0,104
250,Taavi Toppi,129,0,101
248,Tiit Soorm,69,0,52
249,Rainar Enden,65,0,45
252,Meelis Soll,51,0,34
363,Aleksander Laane,383,1,213
368,Heiki Valner,270,3,169
367,Reet Härmat,183,1,110
372,Laura Lisete Roosaar,144,0,89
365,Helina Tilk,139,4,70
377,Olev-Andres Tinn,62,0,37
374,Oskar-Aleksander Lesment,54,0,32
376,Vootele Vaher,52,0,34
370,Aleksander Pototski,51,0,21
373,Annaliisa Asveit,45,1,29
364,Rene Kuulmann,30,1,11
371,Allan Talu,17,0,8
366,Ulvi Koop,14,1,6
375,Maksim Eriksson,14,0,4
369,Ülle Ringmäe,13,0,3
488,Jevgeni Ossinovski,2680,19,1546
494,Madle Lippus,478,3,357
493,Triin Toomesaar,476,0,366
489,Monika Haukanõmm,456,1,277
490,Barbi-Jenny Pilvre-Storgard,371,3,250
491,Anastassia Kovalenko,357,1,145
492,Andrei Hvostov,240,3,157
495,Karl-Martin Sinijärv,203,2,134
501,Maimu Berg,162,1,89
496,Krista Kampus,131,2,89
502,Jaak Allik,124,1,62
497,Kristel Rannaääre,111,0,84
498,Kirill Klaus,49,0,23
500,Allan Kaljakin,32,1,19
499,Mihhail Beljajev,26,3,6
609,Toomas Trapido,363,3,217
611,Helen Orav-Kotta,91,0,55
615,Piret Räni,79,0,45
610,Eve Randvere,47,0,27
614,Madis Mark,30,1,19
617,Teet Randma,26,0,9
616,Reet Poom,21,0,16
613,Jüri Kõuk Roost,13,0,8
612,Jaanus-Juhan Illend,12,0,9
686,Leo Kunnas,4813,60,1777
687,Endel Oja,528,5,178
688,Mait Talu,279,0,98
696,Mare Liiger,275,3,113
693,Hasso Uuetoa,224,2,91
690,Urmas Simon,163,3,78
700,Kairet Remmak-Grassmann,154,1,70
691,Raul Öpik,137,2,57
695,Viljo Tamm,132,2,46
692,Karine Siiak,110,1,49
698,Piret Kollo,82,1,23
699,Katrin Linde,77,0,28
689,Riho Nüüd,49,1,14
694,Veiko Hartwig Valgepea,49,0,19
697,Juhan Kobin,38,0,11
811,Kristina Kallas,2306,4,1289
812,Grigore-Kalev Stoicescu,395,2,275
814,Meelis Niinepuu,241,0,178
813,Mart Sander,221,1,122
815,Toomas Uibo,149,1,92
825,Erik Vest,106,0,62
818,Aare Lapõnin,72,0,46
822,Pavel Starkov,61,0,30
821,Anne Kahru,45,1,33
816,Aleksei Jašin,43,0,25
819,Ave Talu,34,1,28
817,Julia Rustamova,31,0,16
824,Aleksandr Maiorov,22,0,11
823,Ülle Kask,20,2,7
820,Piret Kürbis,15,0,5
936,Mihhail Kõlvart,17150,37,2623
937,Mailis Reps,2069,3,727
938,Mihhail Korb,1114,0,193
942,Maria Jufereva-Skuratovski,1011,5,189
945,Vladimir Svet,980,5,287
940,Erki Savisaar,653,0,116
943,Tõnis Mölder,633,0,177
941,Kalle Klandorf,492,1,119
949,Sergei Ptšjolkin,460,1,108
946,Jüri Kuuskemaa,423,0,135
950,Märt Sults,422,1,87
939,Imre Sooäär,349,1,124
944,Tanel Kiik,237,0,107
947,Irina Embrich,200,0,56
948,Peeter Mardna,142,0,46
1050,Andrei Orponen,113,0,32
1073,Viktoria Ladõnskaja-Kubits,1259,2,709
1072,Sven Sester,1154,4,587
1074,Riina Solman,906,1,468
1077,Lagle Parek,595,6,319
1075,Madis Päts,283,2,151
1076,Kalev Vapper,271,1,146
1084,Heldur-Valdek Seeder,252,3,108
1078,Jüri Trei,141,4,71
1079,Toivo Jürgenson,121,1,69
1082,Illimar Leppik Von Wirén,106,4,59
1080,Tiit Matsulevitš,83,2,48
1081,Jaak Ahelik,82,0,46
1086,Ingo Normet,76,0,33
1083,Lea Nilson,56,0,33
1085,Tiit Naber,31,0,17
1192,Hando Tõnumaa,191,0,100
1193,Maarika Pähklemäe,75,0,38
1196,Ege Hirv,39,0,15
1185,Sergei Svjatušenko,24,0,6
128,Ain Lutsepp,427,1,224
129,Merike Värik,81,2,47
132,Epp Alatalu,66,0,23
130,Tõnu Ploompuu,44,0,21
131,Aleksandr Dormidontov,37,0,10
134,Kaja Vajak,17,0,8
133,Margus Raha,16,0,11
136,Anne Hansberg,11,1,7
135,Tõnu Aru,8,0,1
137,Viktoria Lukats,7,0,4
253,Urmas Paet,8584,15,5386
254,Maris Lauri,4331,10,3027
255,Vilja Toomast,953,2,557
256,Johannes Kert,708,4,460
258,Eero Merilind,429,3,289
257,Õnne Pillak,379,1,285
262,Art Kuum,344,0,220
261,Sten Laansoo,242,0,206
259,Tõnu Meijel,140,0,86
260,Toomas Kärk,99,0,70
378,Kaspar Kurve,438,3,276
380,Tõnu Trubetsky,226,1,107
379,Katrin Jõgisaar,193,4,127
387,Tiiu Roosma,149,0,99
384,Karin Põldoja,74,0,46
385,Errol Vares,56,1,30
382,Agu Kivimägi,29,1,14
381,Urve Madar,28,0,19
386,Anne Artus,20,0,10
383,Andrei Kiisler,14,0,11
504,Helve Särgava,1466,5,788
503,Rainer Vakra,1440,5,620
505,Mart Meri,407,1,255
512,Silver Meikar,271,2,165
506,Külli Urb,238,2,168
509,Olga Sõtnik,227,2,122
508,Anto Liivat,224,0,166
510,Jaak Kangilaski,160,1,99
511,Merli Reidolf,159,2,122
507,Olev Remsu,59,0,34
618,Lauri Tõnspoeg,313,2,177
621,Ott Köstner,87,1,46
619,Andres Vesper,84,1,57
620,Jüri Peterson,60,0,33
701,Martin Helme,5967,57,2110
702,Kadri Vilba,367,2,131
705,Eve Pärnaste,296,2,111
704,Mart Kallas,102,0,37
709,Jüri Böhm,72,1,17
706,Raivo Põhjakivi,70,2,27
703,Wesse Allik,57,0,20
710,Ain Pedajas,52,0,15
707,Tõnis Tähe,50,0,23
708,Andre Pere,22,0,9
826,Lauri Hussar,1300,3,772
828,Tiit Elenurm,287,2,198
827,Ülo Pikkov,216,0,122
829,Siiri Lehtmets,94,1,47
830,Tiit Papp,92,0,49
831,Andres Ingerman,81,0,58
833,Karoliina Oona Ranne,81,1,48
835,Eduard Finagin,63,0,38
832,Marek Karm,61,0,38
834,Hanno Püttsepp,40,0,28
951,Taavi Aas,3925,7,899
956,Lauri Laats,3251,2,444
953,Igor Kravtšenko,1223,0,178
955,Kerstin-Oudekki Loone,820,2,163
954,Tiit Terik,799,0,203
958,Eduard Toman,617,3,142
957,Helle Kalda,447,0,104
960,Merike Martinson,363,1,89
952,Andra Veidemann,350,0,125
959,Grete Šillis,150,0,68
1051,Igor Rosenfeld,37,0,6
1087,Urmas Reinsalu,2633,13,1303
1088,Mart Nutt,1135,5,597
1089,Elle Kull,413,0,217
1091,Trivimi Velliste,340,5,180
1092,Andres Öpik,153,1,97
1093,Urmas Mardi,109,0,62
1096,Indrek Luberg,108,1,61
1090,Kristian Taska,97,0,58
1095,Anne Eenpalu,67,0,32
1094,Andres Ergma,31,0,15
1197,Kalju Mätik,62,0,22
1199,Veiko Tani,37,0,19
138,Juku-Kalle Raid,497,2,233
140,Tiia Välk,122,0,51
144,Tiiu Kuurme,114,0,57
149,Jaak Vackermann,56,0,18
154,Mihhail Jallajas,51,1,17
139,Raivo Kokser,50,0,12
147,Kristo Krumm,29,0,19
143,Vahur Herm,27,0,10
150,Rein Rebane,23,0,13
142,Siiri Käpa,21,0,9
146,Kaie Herkel,18,0,2
145,Eldar Toonverk,14,0,6
152,Peeter Lukas,14,0,0
141,Suido Saarmets,13,0,7
153,Dein-Tom Tõnsing,12,0,7
148,Riina Kurg,11,0,0
151,Aare Pernik,6,0,2
263,Kaja Kallas,20072,34,12843
264,Marko Mihkelson,3655,2,2604
265,Aivar Sõerd,2476,1,1614
269,Madis Milling,2310,2,1370
266,Kalle Palling,1655,0,1007
268,Mart Võrklaev,1025,1,643
270,Timo Suslov,781,1,432
277,Vladas Radvilavičius,569,0,382
271,Andrus Umboja,562,0,321
272,Tiit Vahenõmm,270,1,164
276,Kadri Kurm,262,0,172
267,Laine Randjärv,245,0,139
279,Ott Kasuri,213,1,140
274,Jaan Alver,176,0,114
273,Tiina Rühka,174,0,102
278,Marko Raudlam,101,0,37
275,Liana Nõgene,25,0,20
389,Anu Nataly Saagim-Ratia,608,1,355
388,Jakko Väli,236,0,81
390,Joonas Laks,232,2,147
404,Laura Kiiroja,207,1,129
395,Katrin Lehtveer,89,0,58
391,Tiiu-Ann Kaldma,56,0,24
400,Mai Mikk,48,1,16
399,Hannes Mets,40,1,21
401,Andres Meesak,36,0,25
392,Andrei Gudim,29,1,14
393,Anne Vahemäe,29,0,16
396,Pavel Krõlatov,20,0,5
394,Gert Häusler,15,0,6
403,Aul Pedajas,13,0,6
397,Christina Rannit,13,0,10
398,Erko Soopalu,8,1,4
402,Kalle Olumets,7,0,3
513,Marina Kaljurand,5504,14,2983
514,Rene Tammist,506,2,319
515,Kadri Kõusaar,240,1,157
529,Hardi Volmer,219,2,119
520,Tõnis Blank,187,1,86
528,Tõnu Oja,177,1,98
516,Tanel Talve,156,1,68
517,Pille Petersoo,123,0,77
525,Madis Roodla,114,0,74
519,Merike Metstak,101,1,46
522,Ott Valdma,94,0,42
523,Ain Pinnonen,70,0,32
527,Mati Õunloo,36,0,16
521,Ilja Borodkin,32,0,13
526,Ain Böckler,28,0,17
518,Jüri-Saimon Kuusemets,27,0,15
524,Mark Tenin,7,0,4
622,Artur Talvik,822,2,435
623,Eha Metsallik,135,1,71
634,Val Rajasaar,130,0,96
624,Heli Piisang,114,0,63
628,Liis Truubon,50,0,24
630,Marika Jahilo,43,0,24
631,Paavo Eensalu,37,0,24
626,Kaja Karu-Espenberg,30,0,17
625,Jaanus Saadve,27,0,13
632,Riho Kirmjõe,18,0,10
627,Kalle Virkus,15,0,6
629,Madis Iganõmm,12,0,9
633,Urmas Eelmäe,10,0,2
711,Henn Põlluaas,7390,72,2677
712,Siim Pohlak,4152,20,1489
713,Rene Kokk,1458,7,430
715,Kai Rimmel,873,8,383
719,Jaanus Härms,445,2,164
714,Paul Puustusmaa,419,1,207
720,Roland Tõnisson,252,2,86
722,Meelis Rosenfeld,252,0,88
717,Mart Järvik,223,6,83
718,Tõnu Urva,201,1,68
726,Rudolf Jeeser,186,7,84
721,Alar Valge,183,0,88
723,Peeter Krall,169,0,82
727,Mihkel Saretok,132,0,47
716,Marek Leinemann,117,0,69
724,Ranno Pool,104,2,41
725,Tõnu Kaur,82,1,29
836,Priit Alamäe,1811,1,1037
838,Monika Salu,394,2,235
837,Ando Kiviberg,356,2,184
846,Sandra Järv,239,1,161
841,Jüri Lehtmets,152,1,105
839,Taavi Toom,148,0,98
840,Terje Bachmann,106,0,67
852,Jaak Raie,94,0,66
848,Nadežda Gretšnevkina,70,0,39
842,Leino Mägi,61,0,31
844,Hilje Savolainen,55,0,37
843,Joel Jesse,49,1,25
851,Raivo Mererand,45,1,26
845,Marko Nummert,27,0,14
849,Hillar Joon,24,0,20
850,Arko Okk,23,0,13
847,Toomas Tepomes,15,0,13
961,Jüri Ratas,9702,11,2796
968,Vladimir Arhipov,944,3,173
962,Kaido Höövelson,642,1,219
966,Vladimir Velman,496,0,105
965,Aivar Riisalu,315,0,136
970,Oleg Tšubarov,243,0,61
963,Toomas Vitsut,226,1,72
964,Kristiina Heinmets-Aigro,222,0,75
973,Ilja Ban,204,0,63
971,Jaanus Kalev,195,1,55
972,Hans Liibek,126,0,63
967,Kersti Männik,89,0,33
975,Indrek Uuemaa,86,0,19
969,Jüri Võigemast,80,0,26
977,Viive Rosenberg,67,0,14
974,Aivar Roop,33,0,17
976,Erki Tammleht,11,0,4
1052,Julia Sommer,83,1,31
1097,Jüri Luik,4806,14,2640
1100,Heiki Hepner,962,3,449
1101,Mari-Ann Kelam,745,2,407
1098,Toomas Tõniste,479,1,224
1099,Kalle Muuli,431,0,233
1113,Tanel Ots,409,0,207
1103,Arvi Karotam,407,1,172
1102,Andres Laisk,396,1,206
1105,Gerli Lehe,277,0,180
1108,Villu Karu,266,1,104
1104,Kaupo Rätsepp,258,0,149
1106,Andres Kaarmann,218,1,112
1111,Leemet Vaikmaa,137,0,64
1107,Priit Põldmäe,110,0,54
1110,Mart Rannut,77,0,36
1112,Madis Kübar,76,0,45
1109,Ann Räämet,40,0,22
1187,Risto Nahkor,108,0,36
1198,Kaido Kookmaa,29,0,13
1188,Vello Kookmaa,28,0,11
155,Tiina Kangro,366,0,193
157,Elge Härma,89,0,39
160,Egon Erkmann,75,0,39
159,Anne Kiider,67,0,29
156,Mikko Nõukas,16,0,9
162,Janek Ostra,12,0,9
158,Olev Vaher,10,0,2
161,Janus Tuur,9,0,4
280,Kalle Laanet,3344,5,1825
281,Urve Tiidus,2617,13,1545
282,Aivar Viidik,893,1,583
283,Jaanus Ratas,824,2,392
285,Maire Forsel,460,3,327
284,Heiki Kranich,390,5,273
287,Tiiu Aro,331,2,174
286,Jaanus Müür,291,1,191
412,Aleksei Lotman,320,1,199
405,Rasmus Lahtvee,100,3,49
407,Loore Härmat,72,0,29
410,Steve Truumets,39,1,29
408,Kristen Kannik,35,0,24
409,Merike Kurvits,25,0,11
411,Krissika Kast,25,0,12
406,Maret Merisaar,23,0,11
531,Reili Rand,918,1,515
530,Madis Kallas,812,2,419
532,Neeme Suur,640,0,270
537,Heiki Hanso,355,1,189
533,Kairit Lindmäe,249,1,128
536,Hergo Tasuja,208,0,106
535,Silvi Teesalu,141,2,50
534,Kaido Sipelgas,91,1,54
635,Kaupo Vipp,198,1,106
636,Enn Kaljo,40,0,16
640,Sirkka Pintmann,32,0,18
639,Silja Reemet,31,0,15
638,Märt Randoja,30,0,21
637,Enri Pahapill,19,0,12
728,Helle-Moonika Helme,3202,29,1084
729,Jaen Teär,1124,6,377
730,Hardi Rehkalt,722,8,218
731,Agnes Pulk,653,3,207
735,Daniel Mereäär,442,4,148
733,Toomas Vallimäe,367,2,139
734,Martin Judanov,231,2,74
732,Ille Palusalu,153,1,71
853,Koit Kelder,903,1,496
854,Toomas Kasemaa,163,0,92
860,Keith Siilats,89,0,56
855,Jaanika Roosman,85,0,40
856,Lars Uus,50,0,27
857,Anu Uibo,49,0,24
858,Martin Vahimets,35,0,23
859,Andri Simo,30,0,21
978,Enn Eesmaa,1805,6,481
979,Jaanus Karilaid,1661,1,470
980,Mihkel Undrest,1024,3,296
981,Antti Leigri,427,0,159
982,Rea Raus,303,2,115
984,Maire Käärid,258,0,93
983,Aivar Aru,149,0,46
985,Üllar Neemrand,109,0,27
1053,Diana Koor,13,0,2
1114,Raivo Aeg,1451,11,691
1115,Mart Maastik,523,2,240
1119,Anti Toplaan,473,3,203
